id,language,original_text,translation_human,translation_google
1,Croatian,A fine day like this made her impatient.,Lijep dan poput ovoga učinio ju je nestrpljivom.,Lijep dan poput ovoga učinio ju je nestrpljivom.
2,Croatian,"In high summer, my sister and I were not allowed out of the house.",Usred ljeta sestra i ja nismo smjele izlaziti iz kuće.,U jeku ljeta sestra i ja nismo smjele izlaziti iz kuće.
3,Croatian,She was forbidden to help.,Zabranili su joj da pomaže.,Bilo joj je zabranjeno pomagati.
4,Croatian,As though she were the one who was imposing unpleasant ordeals on a helpless little fellow.,Kao da je ona bila ta koja je bespomoćnom mališanu stavljala neugodna iskušenja.,Kao da je ona ta koja je bespomoćnom mališanu stavljala neugodna iskušenja.
5,Croatian,He let the greatcoat fall on the ground.,Pustio je kaput da padne na tlo.,Pustio je kaput da padne na tlo.
6,Croatian,The accumulated inactivity of the summer weeks since finals also hurried her along.,Nagomilana neaktivnost tijekom ljetnih tjedana od finala također ju je požurivala.,Nagomilana neaktivnost tijekom ljetnih tjedana od finala također ju je požurivala.
7,Croatian,Being at odds with her father about anything at all made her uncomfortable.,Bilo joj je neugodno to što je bila u svađi s ocem oko bilo čega.,Bilo joj je neugodno to što je bila u svađi s ocem oko bilo čega.
8,Croatian,Emily let her thoughts move away from her eldest daughter.,Emily je dopustila da joj misli odmaknu od najstarije kćeri.,Emily je dopustila da joj se misli odmaknu od najstarije kćeri.
9,Croatian,Perhaps I should have written Leon a story.,Možda sam trebala napisati Leonu neku priču.,Možda sam trebao Leonu napisati priču.
10,Croatian,I suppose we should start by reading it.,Pretpostavljam da bismo trebali početi s čitanjem.,Pretpostavljam da bismo trebali početi s čitanjem.
