id,language,original_text,translation_human,translation_google
1,Polish,A fine day like this made her impatient.,"Taki ładny dzień jak ten powodował, że traciła cierpliwość.",Taki piękny dzień niecierpliwił ją.
2,Polish,"In high summer, my sister an I were not allowed out of the house.",Latem nie wypuszczali z domu mojej siostry i mnie.,W środku lata mojej siostrze i mnie nie wolno było wychodzić z domu.
3,Polish,She was forbidden to help.,Nie wolno było mu pomóc.,Zakazano jej pomocy.
4,Polish,As though she were the one who was imposing unpleasant ordeals on a helpless little fellow.,Jakby to ona poddała go ciężkiej próbie.,Jakby to ona poddawała bezbronnemu chłopczykowi nieprzyjemne doświadczenia.
5,Polish,He let the greatcoat fall on the ground.,Rzucił na ziemię szynel.,Upuścił płaszcz na ziemię.
6,Polish,The accumulated inactivity of the summer weeks since finals also hurried her along.,Jej krok przyspieszyła również przedłużająca się bezczynność letnich tygodni po zdaniu egzaminów.,"Skumulowana bezczynność podczas letnich tygodni, które upłynęły od finałów, również ją przyspieszała."
7,Polish,Being at odds with her father about anything at all made her uncomfortable.,Jakakolwiek różnica zdań z ojcem wprawiała ją w zakłopotanie.,"To, że nie zgadzała się z ojcem w jakiejkolwiek sprawie, sprawiało, że czuła się niekomfortowo."
8,Polish,Emily let her thoughts move away from her eldest daughter.,Emily przestała rozmyślać o starszej córce.,Emily pozwoliła myślom odejść od najstarszej córki.
9,Polish,Perhaps I should have written Leon a story.,Może powinnam napisać opowiadanie dla Leona?,Może powinnam napisać Leonowi opowiadanie.
10,Polish,I suppose we should start by reading it.,Najpierw trzeba ją przeczytać.,"Myślę, że powinniśmy zacząć od przeczytania."
